home_team,away_team,home_score,away_score,home_penalty,away_penalty,Attendance,Round,Date,Host,Year,Winner
England,Romania,1,0,,,50560,Group stage,1970-06-02,Mexico,1970,England
Peru,Bulgaria,3,2,,,13765,Group stage,1970-06-02,Mexico,1970,Peru
Uruguay,Israel,2,0,,,20654,Group stage,1970-06-02,Mexico,1970,Uruguay
Mexico,Soviet Union,0,0,,,107160,Group stage,1970-05-31,Mexico,1970,Draw
England,West Germany,4,2,,,96924,Final,1966-07-30,England,1966,England
Portugal,Soviet Union,2,1,,,87696,Third-place match,1966-07-28,England,1966,Portugal
England,Portugal,2,1,,,94493,Semi-finals,1966-07-26,England,1966,England
West Germany,Soviet Union,2,1,,,38273,Semi-finals,1966-07-25,England,1966,West Germany
Portugal,Korea DPR,5,3,,,40248,Quarter-finals,1966-07-23,England,1966,Portugal
England,Argentina,1,0,,,90584,Quarter-finals,1966-07-23,England,1966,England
Soviet Union,Hungary,2,1,,,26844,Quarter-finals,1966-07-23,England,1966,Soviet Union
West Germany,Uruguay,4,0,,,40007,Quarter-finals,1966-07-23,England,1966,West Germany
England,France,2,0,,,98270,Group stage,1966-07-20,England,1966,England
Hungary,Bulgaria,3,1,,,24129,Group stage,1966-07-20,England,1966,Hungary
West Germany,Spain,2,1,,,42187,Group stage,1966-07-20,England,1966,West Germany
Soviet Union,Chile,2,1,,,16027,Group stage,1966-07-20,England,1966,Soviet Union
Uruguay,Mexico,0,0,,,61112,Group stage,1966-07-19,England,1966,Draw
Argentina,Switzerland,2,0,,,32127,Group stage,1966-07-19,England,1966,Argentina
Portugal,Brazil,3,1,,,58479,Group stage,1966-07-19,England,1966,Portugal
Korea DPR,Italy,1,0,,,17829,Group stage,1966-07-19,England,1966,Korea DPR
West Germany,Argentina,0,0,,,46587,Group stage,1966-07-16,England,1966,Draw
Soviet Union,Italy,1,0,,,27793,Group stage,1966-07-16,England,1966,Soviet Union
Portugal,Bulgaria,3,0,,,25438,Group stage,1966-07-16,England,1966,Portugal
England,Mexico,2,0,,,92570,Group stage,1966-07-16,England,1966,England
Spain,Switzerland,2,1,,,32028,Group stage,1966-07-15,England,1966,Spain
Uruguay,France,2,1,,,45662,Group stage,1966-07-15,England,1966,Uruguay
Hungary,Brazil,3,1,,,51387,Group stage,1966-07-15,England,1966,Hungary
Korea DPR,Chile,1,1,,,13792,Group stage,1966-07-15,England,1966,Draw
Argentina,Spain,2,1,,,42738,Group stage,1966-07-13,England,1966,Argentina
France,Mexico,1,1,,,69237,Group stage,1966-07-13,England,1966,Draw
Italy,Chile,2,0,,,27199,Group stage,1966-07-13,England,1966,Italy
Portugal,Hungary,3,1,,,29886,Group stage,1966-07-13,England,1966,Portugal
Brazil,Bulgaria,2,0,,,47308,Group stage,1966-07-12,England,1966,Brazil
Soviet Union,Korea DPR,3,0,,,23006,Group stage,1966-07-12,England,1966,Soviet Union
West Germany,Switzerland,5,0,,,36127,Group stage,1966-07-12,England,1966,West Germany
England,Uruguay,0,0,,,87148,Group stage,1966-07-11,England,1966,Draw
Brazil,Czechoslovakia,3,1,,,68679,Final,1962-06-17,Chile,1962,Brazil
Chile,Yugoslavia,1,0,,,66697,Third-place match,1962-06-16,Chile,1962,Chile
Brazil,Chile,4,2,,,76594,Semi-finals,1962-06-13,Chile,1962,Brazil
Czechoslovakia,Yugoslavia,3,1,,,5890,Semi-finals,1962-06-13,Chile,1962,Czechoslovakia
Chile,Soviet Union,2,1,,,17268,Quarter-finals,1962-06-10,Chile,1962,Chile
Brazil,England,3,1,,,17736,Quarter-finals,1962-06-10,Chile,1962,Brazil
Czechoslovakia,Hungary,1,0,,,11690,Quarter-finals,1962-06-10,Chile,1962,Czechoslovakia
Yugoslavia,West Germany,1,0,,,63324,Quarter-finals,1962-06-10,Chile,1962,Yugoslavia
England,Bulgaria,0,0,,,5700,Group stage,1962-06-07,Chile,1962,Draw
Mexico,Czechoslovakia,3,1,,,10648,Group stage,1962-06-07,Chile,1962,Mexico
Italy,Switzerland,3,0,,,59828,Group stage,1962-06-07,Chile,1962,Italy
Yugoslavia,Colombia,5,0,,,7167,Group stage,1962-06-07,Chile,1962,Yugoslavia
West Germany,Chile,2,0,,,67224,Group stage,1962-06-06,Chile,1962,West Germany
Soviet Union,Uruguay,2,1,,,9973,Group stage,1962-06-06,Chile,1962,Soviet Union
Hungary,Argentina,0,0,,,7945,Group stage,1962-06-06,Chile,1962,Draw
Brazil,Spain,2,1,,,18715,Group stage,1962-06-06,Chile,1962,Brazil
Spain,Mexico,1,0,,,11875,Group stage,1962-06-03,Chile,1962,Spain
Soviet Union,Colombia,4,4,,,8040,Group stage,1962-06-03,Chile,1962,Draw
Hungary,Bulgaria,6,1,,,7442,Group stage,1962-06-03,Chile,1962,Hungary
West Germany,Switzerland,2,1,,,64922,Group stage,1962-06-03,Chile,1962,West Germany
Chile,Italy,2,0,,,66057,Group stage,1962-06-02,Chile,1962,Chile
Brazil,Czechoslovakia,0,0,,,14903,Group stage,1962-06-02,Chile,1962,Draw
England,Argentina,3,1,,,9794,Group stage,1962-06-02,Chile,1962,England
Yugoslavia,Uruguay,3,1,,,8829,Group stage,1962-06-02,Chile,1962,Yugoslavia
West Germany,Italy,0,0,,,65440,Group stage,1962-05-31,Chile,1962,Draw
Hungary,England,2,1,,,7938,Group stage,1962-05-31,Chile,1962,Hungary
Czechoslovakia,Spain,1,0,,,12700,Group stage,1962-05-31,Chile,1962,Czechoslovakia
Soviet Union,Yugoslavia,2,0,,,9622,Group stage,1962-05-31,Chile,1962,Soviet Union
Chile,Switzerland,3,1,,,65006,Group stage,1962-05-30,Chile,1962,Chile
Uruguay,Colombia,2,1,,,7908,Group stage,1962-05-30,Chile,1962,Uruguay
Brazil,Mexico,2,0,,,10484,Group stage,1962-05-30,Chile,1962,Brazil
Argentina,Bulgaria,1,0,,,7134,Group stage,1962-05-30,Chile,1962,Argentina
Brazil,Sweden,5,2,,,49737,Final,1958-06-29,Sweden,1958,Brazil
France,West Germany,6,3,,,32483,Third-place match,1958-06-28,Sweden,1958,France
Sweden,West Germany,3,1,,,49471,Semi-finals,1958-06-24,Sweden,1958,Sweden
Brazil,France,5,2,,,27100,Semi-finals,1958-06-24,Sweden,1958,Brazil
France,Northern Ireland,4,0,,,11800,Quarter-finals,1958-06-19,Sweden,1958,France
West Germany,Yugoslavia,1,0,,,20055,Quarter-finals,1958-06-19,Sweden,1958,West Germany
Brazil,Wales,1,0,,,25923,Quarter-finals,1958-06-19,Sweden,1958,Brazil
Sweden,Soviet Union,2,0,,,31900,Quarter-finals,1958-06-19,Sweden,1958,Sweden
Northern Ireland,Czechoslovakia,2,1,,,6196,Group stage play-off,1958-06-17,Sweden,1958,Northern Ireland
Wales,Hungary,2,1,,,2823,Group stage play-off,1958-06-17,Sweden,1958,Wales
Soviet Union,England,1,0,,,23182,Group stage play-off,1958-06-17,Sweden,1958,Soviet Union
Sweden,Wales,0,0,,,30287,Group stage,1958-06-15,Sweden,1958,Draw
Paraguay,Yugoslavia,3,3,,,13103,Group stage,1958-06-15,Sweden,1958,Draw
West Germany,Northern Ireland,2,2,,,21990,Group stage,1958-06-15,Sweden,1958,Draw
Czechoslovakia,Argentina,6,1,,,16418,Group stage,1958-06-15,Sweden,1958,Czechoslovakia
England,Austria,2,2,,,15872,Group stage,1958-06-15,Sweden,1958,Draw
Brazil,Soviet Union,2,0,,,50928,Group stage,1958-06-15,Sweden,1958,Brazil
Hungary,Mexico,4,0,,,13300,Group stage,1958-06-15,Sweden,1958,Hungary
France,Scotland,2,1,,,13554,Group stage,1958-06-15,Sweden,1958,France
Sweden,Hungary,2,1,,,38850,Group stage,1958-06-12,Sweden,1958,Sweden
Soviet Union,Austria,2,0,,,21239,Group stage,1958-06-11,Sweden,1958,Soviet Union
West Germany,Czechoslovakia,2,2,,,25000,Group stage,1958-06-11,Sweden,1958,Draw
Argentina,Northern Ireland,3,1,,,14174,Group stage,1958-06-11,Sweden,1958,Argentina
Yugoslavia,France,3,2,,,12217,Group stage,1958-06-11,Sweden,1958,Yugoslavia
Paraguay,Scotland,3,2,,,11665,Group stage,1958-06-11,Sweden,1958,Paraguay
Brazil,England,0,0,,,40895,Group stage,1958-06-11,Sweden,1958,Draw
Mexico,Wales,1,1,,,15150,Group stage,1958-06-11,Sweden,1958,Draw
Sweden,Mexico,3,0,,,34107,Group stage,1958-06-08,Sweden,1958,Sweden
Northern Ireland,Czechoslovakia,1,0,,,10647,Group stage,1958-06-08,Sweden,1958,Northern Ireland
Hungary,Wales,1,1,,,15343,Group stage,1958-06-08,Sweden,1958,Draw
Yugoslavia,Scotland,1,1,,,9591,Group stage,1958-06-08,Sweden,1958,Draw
Brazil,Austria,3,0,,,17788,Group stage,1958-06-08,Sweden,1958,Brazil
Soviet Union,England,2,2,,,49348,Group stage,1958-06-08,Sweden,1958,Draw
France,Paraguay,7,3,,,16518,Group stage,1958-06-08,Sweden,1958,France
Argentina,West Germany,1,3,,,31156,Group stage,1958-06-08,Sweden,1958,West Germany
Germany,Hungary,3,2,,,62500,Final,1954-07-04,Switzerland,1954,Germany
Austria,Uruguay,3,1,,,32000,Third-place match,1954-07-03,Switzerland,1954,Austria
Hungary,Uruguay,4,2,,,45000,Semi-finals,1954-06-30,Switzerland,1954,Hungary
Germany,Austria,6,1,,,58000,Semi-finals,1954-06-30,Switzerland,1954,Germany
Germany,Yugoslavia,2,0,,,17000,Quarter-finals,1954-06-27,Switzerland,1954,Germany
Hungary,Brazil,4,2,,,40000,Quarter-finals,1954-06-27,Switzerland,1954,Hungary
Uruguay,England,4,2,,,28000,Quarter-finals,1954-06-26,Switzerland,1954,Uruguay
Switzerland,Austria,5,7,,,35000,Quarter-finals,1954-06-26,Switzerland,1954,Austria
Germany,Türkiye,7,2,,,17000,Group stage play-off,1954-06-23,Switzerland,1954,Germany
Switzerland,Italy,4,1,,,30000,Group stage play-off,1954-06-23,Switzerland,1954,Switzerland
Hungary,Germany,8,3,,,56000,Group stage,1954-06-20,Switzerland,1954,Hungary
Türkiye,Korea Republic,7,0,,,4000,Group stage,1954-06-20,Switzerland,1954,Türkiye
Italy,Belgium,4,1,,,24000,Group stage,1954-06-20,Switzerland,1954,Italy
Switzerland,England,0,2,,,43500,Group stage,1954-06-20,Switzerland,1954,England
Uruguay,Scotland,7,0,,,34000,Group stage,1954-06-19,Switzerland,1954,Uruguay
Brazil,Yugoslavia,1,1,,,24637,Group stage,1954-06-19,Switzerland,1954,Draw
Austria,Czechoslovakia,5,0,,,26000,Group stage,1954-06-19,Switzerland,1954,Austria
France,Mexico,3,2,,,19000,Group stage,1954-06-19,Switzerland,1954,France
Switzerland,Italy,2,1,,,43000,Group stage,1954-06-17,Switzerland,1954,Switzerland
Hungary,Korea Republic,9,0,,,13000,Group stage,1954-06-17,Switzerland,1954,Hungary
Germany,Türkiye,4,1,,,28000,Group stage,1954-06-17,Switzerland,1954,Germany
England,Belgium,4,4,,,14000,Group stage,1954-06-17,Switzerland,1954,Draw
Uruguay,Czechoslovakia,2,0,,,20500,Group stage,1954-06-16,Switzerland,1954,Uruguay
Yugoslavia,France,1,0,,,16000,Group stage,1954-06-16,Switzerland,1954,Yugoslavia
Brazil,Mexico,5,0,,,13470,Group stage,1954-06-16,Switzerland,1954,Brazil
Austria,Scotland,1,0,,,25000,Group stage,1954-06-16,Switzerland,1954,Austria
Sweden,Spain,3,1,,,11227,Final stage,1950-07-16,Brazil,1950,Sweden
Uruguay,Brazil,2,1,,,173850,Final stage,1950-07-16,Brazil,1950,Uruguay
Brazil,Spain,6,1,,,152772,Final stage,1950-07-13,Brazil,1950,Brazil
Uruguay,Sweden,3,2,,,7987,Final stage,1950-07-13,Brazil,1950,Uruguay
Brazil,Sweden,7,1,,,138886,Final stage,1950-07-09,Brazil,1950,Brazil
Uruguay,Spain,2,2,,,44802,Final stage,1950-07-09,Brazil,1950,Draw
Chile,United States,5,2,,,8501,Group stage,1950-07-02,Brazil,1950,Chile
Italy,Paraguay,2,0,,,25811,Group stage,1950-07-02,Brazil,1950,Italy
Uruguay,Bolivia,8,0,,,5284,Group stage,1950-07-02,Brazil,1950,Uruguay
Spain,England,1,0,,,74462,Group stage,1950-07-02,Brazil,1950,Spain
Switzerland,Mexico,2,1,,,3580,Group stage,1950-07-02,Brazil,1950,Switzerland
Brazil,Yugoslavia,2,0,,,142429,Group stage,1950-07-01,Brazil,1950,Brazil
Spain,Chile,2,0,,,19790,Group stage,1950-06-29,Brazil,1950,Spain
United States,England,1,0,,,10151,Group stage,1950-06-29,Brazil,1950,United States
Sweden,Paraguay,2,2,,,7903,Group stage,1950-06-29,Brazil,1950,Draw
Brazil,Switzerland,2,2,,,42032,Group stage,1950-06-28,Brazil,1950,Draw
Yugoslavia,Mexico,4,1,,,11078,Group stage,1950-06-28,Brazil,1950,Yugoslavia
Sweden,Italy,3,2,,,36502,Group stage,1950-06-25,Brazil,1950,Sweden
England,Chile,2,0,,,29703,Group stage,1950-06-25,Brazil,1950,England
Spain,United States,3,1,,,9511,Group stage,1950-06-25,Brazil,1950,Spain
Yugoslavia,Switzerland,3,0,,,7336,Group stage,1950-06-25,Brazil,1950,Yugoslavia
Brazil,Mexico,4,0,,,81649,Group stage,1950-06-24,Brazil,1950,Brazil
Brazil,Sweden,4,2,,,12000,Third-place match,1938-06-19,France,1938,Brazil
Italy,Hungary,4,2,,,45000,Final,1938-06-19,France,1938,Italy
Hungary,Sweden,5,1,,,20000,Semi-finals,1938-06-16,France,1938,Hungary
Italy,Brazil,2,1,,,33000,Semi-finals,1938-06-16,France,1938,Italy
Brazil,Czechoslovakia,2,1,,,18141,Quarter-finals,1938-06-14,France,1938,Brazil
Sweden,Cuba,8,0,,,7000,Quarter-finals,1938-06-12,France,1938,Sweden
Brazil,Czechoslovakia,1,1,,,22021,Quarter-finals,1938-06-12,France,1938,Draw
Hungary,Switzerland,2,0,,,15000,Quarter-finals,1938-06-12,France,1938,Hungary
Italy,France,3,1,,,58455,Quarter-finals,1938-06-12,France,1938,Italy
Switzerland,Germany,4,2,,,20025,Round of 16,1938-06-09,France,1938,Switzerland
Cuba,Romania,2,1,,,8000,Round of 16,1938-06-09,France,1938,Cuba
Italy,Norway,2,1,,,19000,Round of 16,1938-06-05,France,1938,Italy
Cuba,Romania,3,3,,,7000,Round of 16,1938-06-05,France,1938,Draw
Hungary,Dutch East Indies,6,0,,,9000,Round of 16,1938-06-05,France,1938,Hungary
France,Belgium,3,1,,,30454,Round of 16,1938-06-05,France,1938,France
Brazil,Poland,6,5,,,13452,Round of 16,1938-06-05,France,1938,Brazil
Czechoslovakia,Netherlands,3,0,,,11000,Round of 16,1938-06-05,France,1938,Czechoslovakia
Switzerland,Germany,1,1,,,27152,Round of 16,1938-06-04,France,1938,Draw
Italy,Czechoslovakia,2,1,,,55000,Final,1934-06-10,Italy,1934,Italy
Germany,Austria,3,2,,,7000,Third-place match,1934-06-07,Italy,1934,Germany
Czechoslovakia,Germany,3,1,,,15000,Semi-finals,1934-06-03,Italy,1934,Czechoslovakia
Italy,Austria,1,0,,,35000,Semi-finals,1934-06-03,Italy,1934,Italy
Italy,Spain,1,0,,,43000,Quarter-finals,1934-06-01,Italy,1934,Italy
Austria,Hungary,2,1,,,23000,Quarter-finals,1934-05-31,Italy,1934,Austria
Czechoslovakia,Switzerland,3,2,,,12000,Quarter-finals,1934-05-31,Italy,1934,Czechoslovakia
Italy,Spain,1,1,,,35000,Quarter-finals,1934-05-31,Italy,1934,Draw
Germany,Sweden,2,1,,,3000,Quarter-finals,1934-05-31,Italy,1934,Germany
Czechoslovakia,Romania,2,1,,,9000,Round of 16,1934-05-27,Italy,1934,Czechoslovakia
Hungary,Egypt,4,2,,,9000,Round of 16,1934-05-27,Italy,1934,Hungary
Austria,France,3,2,,,16000,Round of 16,1934-05-27,Italy,1934,Austria
Switzerland,Netherlands,3,2,,,33000,Round of 16,1934-05-27,Italy,1934,Switzerland
Sweden,Argentina,3,2,,,14000,Round of 16,1934-05-27,Italy,1934,Sweden
Spain,Brazil,3,1,,,21000,Round of 16,1934-05-27,Italy,1934,Spain
Germany,Belgium,5,2,,,8000,Round of 16,1934-05-27,Italy,1934,Germany
Italy,United States,7,1,,,25000,Round of 16,1934-05-27,Italy,1934,Italy
Uruguay,Argentina,4,2,,,68346,Final,1930-07-30,Uruguay,1930,Uruguay
Uruguay,Yugoslavia,6,1,,,79867,Semi-finals,1930-07-27,Uruguay,1930,Uruguay
Argentina,United States,6,1,,,72886,Semi-finals,1930-07-26,Uruguay,1930,Argentina
Argentina,Chile,3,1,,,41459,Group stage,1930-07-22,Uruguay,1930,Argentina
Uruguay,Romania,4,0,,,70022,Group stage,1930-07-21,Uruguay,1930,Uruguay
Brazil,Bolivia,4,0,,,25466,Group stage,1930-07-20,Uruguay,1930,Brazil
Paraguay,Belgium,1,0,,,12000,Group stage,1930-07-20,Uruguay,1930,Paraguay
Chile,France,1,0,,,2000,Group stage,1930-07-19,Uruguay,1930,Chile
Argentina,Mexico,6,3,,,42100,Group stage,1930-07-19,Uruguay,1930,Argentina
Uruguay,Peru,1,0,,,57735,Group stage,1930-07-18,Uruguay,1930,Uruguay
Yugoslavia,Bolivia,4,0,,,18306,Group stage,1930-07-17,Uruguay,1930,Yugoslavia
United States,Paraguay,3,0,,,18306,Group stage,1930-07-17,Uruguay,1930,United States
Chile,Mexico,3,0,,,9249,Group stage,1930-07-16,Uruguay,1930,Chile
Argentina,France,1,0,,,23409,Group stage,1930-07-15,Uruguay,1930,Argentina
Yugoslavia,Brazil,2,1,,,24059,Group stage,1930-07-14,Uruguay,1930,Yugoslavia
Romania,Peru,3,1,,,2549,Group stage,1930-07-14,Uruguay,1930,Romania
United States,Belgium,3,0,,,18346,Group stage,1930-07-13,Uruguay,1930,United States
France,Mexico,4,1,,,4444,Group stage,1930-07-13,Uruguay,1930,France
